full_name,has_readme,readme_size,has_ci,has_tests
datawhalechina/competition-baseline,True,36138.0,False,False
open-mmlab/mmocr,True,14120.0,True,True
FluxML/Flux.jl,True,2890.0,True,False
andri27-ts/Reinforcement-Learning,True,25679.0,False,False
trigaten/Learn_Prompting,True,5726.0,True,False
khanhnamle1994/cracking-the-data-science-interview,True,13637.0,False,False
changyeyu/LLM-RL-Visualized,True,160354.0,False,False
sanchit-gandhi/whisper-jax,True,21671.0,False,False
cvg/LightGlue,True,10217.0,True,False
alirezadir/Production-Level-Deep-Learning,True,18948.0,False,False
google-deepmind/dm_control,True,5907.0,False,False
sweetice/Deep-reinforcement-learning-with-pytorch,True,8455.0,False,False
r0f1/datascience,True,129147.0,False,False
Tencent/TNN,True,18326.0,True,False
instillai/deep-learning-roadmap,True,37365.0,False,False
huggingface/autotrain-advanced,True,8837.0,True,False
kyegomez/tree-of-thoughts,True,7753.0,True,False
OpenNMT/CTranslate2,True,9568.0,True,True
fundamentalvision/BEVFormer,True,8802.0,False,False
LLMBook-zh/LLMBook-zh.github.io,True,15539.0,False,False
RUCAIBox/RecBole,True,27657.0,True,True
luban-agi/Awesome-AIGC-Tutorials,True,26271.0,False,False
NVlabs/tiny-cuda-nn,True,22268.0,True,True
nianticlabs/monodepth2,True,14464.0,False,False
Rikorose/DeepFilterNet,True,13031.0,True,False
astorfi/TensorFlow-World,True,23156.0,False,False
suragnair/alpha-zero-general,True,4473.0,False,False
leoxiaobin/deep-high-resolution-net.pytorch,True,16166.0,False,False
zjunlp/DeepKE,True,32658.0,False,False
rom1504/img2dataset,True,28054.0,True,True
mosaicml/llm-foundry,True,20951.0,False,True
microsoft/VoTT,True,14091.0,False,False
tensorflow/probability,True,11920.0,True,False
opendilab/awesome-RLHF,True,91040.0,False,False
Azure/MachineLearningNotebooks,True,1623.0,False,False
truefoundry/cognita,True,22635.0,True,False
wzhe06/Ad-papers,True,33909.0,False,False
HumanSignal/awesome-data-labeling,True,6791.0,False,False
microsoft/FLAML,True,7409.0,True,False
ahkarami/Deep-Learning-in-Production,True,28543.0,False,False
janhuenermann/neurojs,True,1479.0,False,False
onnxsim/onnxsim,True,3906.0,True,True
dsgiitr/d2l-pytorch,True,14669.0,False,False
pytorch/serve,True,15310.0,True,False
modelscope/ClearerVoice-Studio,True,9796.0,False,False
lucidrains/deep-daze,True,13228.0,True,False
amanchadha/coursera-deep-learning-specialization,True,19024.0,True,False
lululxvi/deepxde,True,11117.0,True,False
Moataz-Elmesmary/Data-Science-Roadmap,True,61815.0,False,False
ourownstory/neural_prophet,True,7561.0,True,True
richzhang/PerceptualSimilarity,True,10273.0,False,False
apachecn/pytorch-doc-zh,True,2747.0,True,False
Nixtla/neuralforecast,True,12910.0,True,True
metavoiceio/metavoice-src,True,8759.0,True,True
ModelTC/LightLLM,True,7506.0,True,False
dalinvip/Awesome-ChatGPT,True,17949.0,False,False
NVIDIA/DIGITS,True,3386.0,False,False
cvg/Hierarchical-Localization,True,16812.0,True,False
WeThinkIn/AIGC-Interview-Book,True,9330.0,False,False
torchgeo/torchgeo,True,15871.0,True,True
mlfoundations/open_flamingo,True,13807.0,True,False
balancap/SSD-Tensorflow,True,9293.0,False,False
Charmve/Surface-Defect-Detection,True,37555.0,False,False
huggingface/course,True,22286.0,True,False
SwanHubX/SwanLab,True,43993.0,True,True
opengeos/segment-geospatial,True,12836.0,True,True
google-deepmind/learning-to-learn,True,2883.0,False,False
aadi1011/AI-ML-Roadmap-from-scratch,True,17807.0,False,False
magicleap/SuperGluePretrainedNetwork,True,19116.0,False,False
FedML-AI/FedML,True,3814.0,True,False
sksq96/pytorch-summary,True,7643.0,False,False
deepchecks/deepchecks,True,31857.0,True,True
kenshohara/3D-ResNets-PyTorch,True,9675.0,False,False
minivision-ai/photo2cartoon,True,7836.0,False,False
uxlfoundation/oneDNN,True,22632.0,True,True
open-spaced-repetition/fsrs4anki,True,11055.0,False,False
junyanz/iGAN,True,12197.0,False,False
TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,True,71819.0,True,False
quark0/darts,True,5064.0,False,False
lucidrains/vector-quantize-pytorch,True,33608.0,False,True
higgsfield-ai/higgsfield,True,6242.0,True,False
Nixtla/nixtla,True,12912.0,True,False
foolwood/benchmark_results,True,56416.0,False,False
clovaai/deep-text-recognition-benchmark,True,13985.0,False,False
thuml/Transfer-Learning-Library,True,18908.0,False,False
Lightning-AI/LitServe,True,23047.0,True,True
chrieke/awesome-satellite-imagery-datasets,True,28688.0,True,False
ikostrikov/pytorch-a2c-ppo-acktr-gail,True,6460.0,False,False
simoninithomas/Deep_reinforcement_learning_Course,True,1264.0,False,False
dkozlov/awesome-knowledge-distillation,True,36345.0,True,False
grananqvist/Awesome-Quant-Machine-Learning-Trading,True,20034.0,False,False
NervanaSystems/neon,True,7851.0,False,True
hyperai/tvm-cn,True,2172.0,True,False
LazyAGI/LazyLLM,True,23069.0,True,True
mseitzer/pytorch-fid,True,4559.0,True,True
NTMC-Community/MatchZoo,True,14539.0,False,True
open-mmlab/mmpretrain,True,17917.0,True,True
allmachinelearning/MachineLearning,True,16644.0,False,False
TrickyGo/Dive-into-DL-TensorFlow2.0,True,13391.0,False,False
google-research/scenic,True,12142.0,False,False
MLNLP-World/DeepLearning-MuLi-Notes,True,49046.0,False,False
lightly-ai/lightly,True,38860.0,True,True
apachecn/hands-on-ml-zh,True,1234.0,False,False
Sophia-11/Machine-Learning-Notes,True,8461.0,False,False
google/deepvariant,True,14003.0,False,False
ashishpatel26/Andrew-NG-Notes,True,13611.0,True,False
huggingface/huggingface_hub,True,9611.0,True,True
olivia-ai/olivia,True,7195.0,True,False
hiyouga/LlamaFactory,True,69271.0,True,True
apachecn/ailearning,True,23798.0,False,False
666ghj/BettaFish,True,37540.0,True,True
google-research/bert,True,50519.0,False,False
google/langextract,True,20480.0,True,True
hankcs/HanLP,True,11231.0,True,True
stanford-oval/storm,True,20091.0,True,False
NirDiamant/RAG_Techniques,True,69156.0,True,True
deepset-ai/haystack,True,14041.0,True,False
AiHubCN/Awesome-Chinese-LLM,True,102188.0,False,False
microsoft/unilm,True,33524.0,False,False
RasaHQ/rasa,True,5640.0,True,True
AI4Finance-Foundation/FinGPT,True,33132.0,False,True
ymcui/Chinese-LLaMA-Alpaca,True,31334.0,True,False
piskvorky/gensim,True,10040.0,True,False
memvid/memvid,True,16847.0,True,True
graykode/nlp-tutorial,True,5131.0,True,False
virgili0/Virgilio,True,2241.0,True,False
botpress/botpress,True,7022.0,True,False
nltk/nltk,True,1742.0,True,False
flairNLP/flair,True,11491.0,True,True
PaddlePaddle/PaddleNLP,True,38510.0,True,True
neuml/txtai,True,22641.0,True,False
dair-ai/AI-Papers-of-the-Week,True,22333.0,False,False
spencermountain/compromise,True,62765.0,True,True
huggingface/tokenizers,True,3379.0,True,False
ymcui/Chinese-BERT-wwm,True,30806.0,False,False
Mooler0410/LLMsPracticalGuide,True,33062.0,False,False
data-privacy-stack/presidio,True,6722.0,True,False
stanfordnlp/CoreNLP,True,9303.0,True,False
brightmart/nlp_chinese_corpus,True,20317.0,False,False
sloria/TextBlob,True,3018.0,True,True
WooooDyy/LLM-Agent-Paper-List,True,89739.0,False,False
jessevig/bertviz,True,18734.0,False,False
brightmart/text_classification,True,38382.0,False,False
crownpku/Awesome-Chinese-NLP,True,23740.0,False,False
MaartenGr/BERTopic,True,19517.0,True,True
Morizeyao/GPT2-Chinese,True,15745.0,False,False
ymcui/Chinese-LLaMA-Alpaca-2,True,43027.0,True,False
thunlp/WantWords,True,2810.0,False,False
clovaai/donut,True,18666.0,False,False
MycroftAI/mycroft-core,True,8919.0,True,False
axa-group/nlp.js,True,19512.0,True,False
codertimo/BERT-pytorch,True,4272.0,False,False
NLPchina/ansj_seg,True,2499.0,False,False
adbar/trafilatura,True,9634.0,True,True
aisingapore/TagUI,True,10529.0,True,False
argosopentech/argos-translate,True,9192.0,True,True
nfmcclure/tensorflow_cookbook,True,40746.0,False,False
axa-group/Parsr,True,4795.0,True,False
houbb/sensitive-word,True,52820.0,False,False
vi3k6i5/flashtext,True,9183.0,False,False
